,amoA.001,amoA.002,amoA.003,amoA.004,amoA.005,amoA.006,amoA.007,amoA.008,amoA.009,amoA.010,amoA.011,amoA.012,amoA.013,amoA.014,amoA.015,amoA.016,amoA.017,amoA.018,amoA.019,amoA.020,amoA.021,amoA.022,amoA.023,amoA.024,amoA.025,amoA.026,amoA.027,amoA.028,amoA.029,amoA.030,amoA.031,amoA.032,amoA.033,amoA.034,amoA.035,amoA.036,amoA.037,amoA.038,amoA.039,amoA.040,amoA.041,amoA.042,amoA.043,amoA.044,amoA.045,amoA.046,amoA.047,amoA.048,amoA.049,amoA.050,amoA.051,amoA.052,amoA.053,amoA.054,amoA.055,amoA.056,amoA.057,amoA.058,amoA.059,amoA.060,amoA.061,amoA.062,amoA.063,amoA.064,amoA.065,amoA.066,amoA.067,amoA.068,amoA.069,amoA.070,amoA.071,amoA.072,amoA.073,amoA.074,amoA.075,amoA.076,amoA.077,amoA.078,fert_level,crop,timepoint,doe,addition,field_rep
2b,10.11924946,27.41267879,8.764503554,8.992936536,7.447640567,9.737887528,27.41267879,7.898449573,9.604767263,9.741508689,8.28137871,5.67030701,9.059115256,8.819879826,8.85785231,7.316016477,27.41267879,9.551622045,27.41267879,9.645213867,27.41267879,8.126854003,27.41267879,7.737617321,7.397682481,9.336236711,9.387924045,27.41267879,27.41267879,27.41267879,27.41267879,9.973931058,10.32764963,27.41267879,10.40689321,9.231619769,27.41267879,27.41267879,6.186867524,27.41267879,27.41267879,27.41267879,8.903626005,27.41267879,27.41267879,27.41267879,27.41267879,27.41267879,27.41267879,27.41267879,7.783576209,7.697536842,27.41267879,9.395729395,9.109998321,27.41267879,9.051853313,9.139843033,27.41267879,27.41267879,27.41267879,27.41267879,9.223010086,27.41267879,27.41267879,7.782143729,27.41267879,27.41267879,27.41267879,27.41267879,27.41267879,27.41267879,27.41267879,9.298011361,27.41267879,27.41267879,27.41267879,27.41267879,0,corn,b,5,carbon,1
35b,9.837943445,27.51088802,9.30007732,10.44544837,8.530234103,9.757077519,27.51088802,27.51088802,8.210978365,10.42805034,8.764632433,6.85963253,27.51088802,9.156926049,10.10552538,9.36518432,27.51088802,27.51088802,27.51088802,27.51088802,27.51088802,27.51088802,10.45406917,27.51088802,9.39191661,27.51088802,27.51088802,27.51088802,27.51088802,27.51088802,27.51088802,27.51088802,27.51088802,10.48704541,27.51088802,8.65686394,27.51088802,27.51088802,6.954835299,27.51088802,27.51088802,27.51088802,27.51088802,27.51088802,27.51088802,27.51088802,10.43648362,27.51088802,27.51088802,27.51088802,10.26257216,9.641541237,27.51088802,9.940614176,10.30676709,27.51088802,9.261187586,27.51088802,27.51088802,27.51088802,27.51088802,27.51088802,27.51088802,27.51088802,9.97792879,9.627352869,27.51088802,27.51088802,27.51088802,27.51088802,27.51088802,27.51088802,27.51088802,27.51088802,27.51088802,27.51088802,27.51088802,27.51088802,0,corn,b,5,carbon,4
52f,26.3454849,26.3454849,26.3454849,26.3454849,7.379424295,26.3454849,26.3454849,26.3454849,26.3454849,26.3454849,8.196052774,5.059759486,8.3806393,26.3454849,26.3454849,7.18667316,26.3454849,26.3454849,26.3454849,26.3454849,26.3454849,8.064259962,9.006862924,8.855070014,7.499600225,9.106928422,26.3454849,26.3454849,26.3454849,26.3454849,26.3454849,9.188421793,8.085779992,8.195376026,26.3454849,9.206973068,26.3454849,26.3454849,5.03595854,26.3454849,26.3454849,9.060248111,8.829688995,26.3454849,26.3454849,8.145360023,26.3454849,26.3454849,8.15855545,8.448593738,9.30592462,8.695248957,26.3454849,26.3454849,8.868639796,7.92262047,8.423450769,8.644192049,26.3454849,7.833398186,26.3454849,26.3454849,26.3454849,26.3454849,26.3454849,8.337313557,26.3454849,26.3454849,26.3454849,26.3454849,26.3454849,26.3454849,26.3454849,26.3454849,26.3454849,26.3454849,26.3454849,26.3454849,0,mxg,f,87,control,2
34f,26.91443172,26.91443172,26.91443172,26.91443172,7.235779419,26.91443172,26.91443172,9.432688672,8.817335793,26.91443172,9.389068865,6.440878284,26.91443172,26.91443172,9.571726979,9.802002519,26.91443172,26.91443172,26.91443172,26.91443172,26.91443172,26.91443172,26.91443172,26.91443172,9.143481921,26.91443172,26.91443172,26.91443172,9.471657625,26.91443172,26.91443172,9.201576229,26.91443172,26.91443172,26.91443172,26.91443172,26.91443172,26.91443172,7.407565073,26.91443172,26.91443172,26.91443172,26.91443172,9.825800092,26.91443172,26.91443172,9.048489873,26.91443172,26.91443172,26.91443172,9.387422528,26.91443172,26.91443172,26.91443172,26.91443172,9.855885656,7.936263304,26.91443172,9.573890453,26.91443172,26.91443172,9.651100032,26.91443172,26.91443172,26.91443172,8.475662546,9.557433994,26.91443172,26.91443172,26.91443172,26.91443172,26.91443172,26.91443172,26.91443172,26.91443172,26.91443172,26.91443172,26.91443172,0,corn,f,87,control,4
16f,8.337292969,25.94590654,8.371314184,25.94590654,5.91807282,25.94590654,25.94590654,7.909364025,5.898369407,25.94590654,6.70923653,4.507285735,7.084398742,7.907738068,7.67602494,5.634956572,8.631990296,7.407452415,8.426038808,7.087612018,25.94590654,6.755183117,25.94590654,7.840996863,6.48454993,6.584264276,6.449297887,25.94590654,8.819678789,25.94590654,25.94590654,7.985588828,7.379856649,7.381219167,25.94590654,8.249739189,7.879577607,25.94590654,4.43629479,8.897185522,8.729590226,8.1730626,6.360085307,8.684897797,5.951642948,7.195859861,6.168384933,25.94590654,7.235108826,7.356955427,7.338797575,6.056258838,8.827139534,8.787463601,8.536340411,6.930450489,6.597500684,25.94590654,7.286580118,6.484562161,25.94590654,25.94590654,25.94590654,25.94590654,8.93806574,6.299011946,25.94590654,25.94590654,25.94590654,7.930764491,25.94590654,7.693905207,25.94590654,8.931629034,25.94590654,25.94590654,25.94590654,25.94590654,336,corn,f,87,control,2
53f,26.58155976,26.58155976,9.564656716,26.58155976,9.057802446,26.58155976,26.58155976,26.58155976,8.097326287,26.58155976,8.855282587,5.008822103,26.58155976,26.58155976,26.58155976,8.118384462,8.993559767,26.58155976,26.58155976,8.417843968,26.58155976,7.848165841,26.58155976,26.58155976,8.570170848,8.770208894,8.578531547,26.58155976,26.58155976,26.58155976,26.58155976,26.58155976,9.119135061,26.58155976,26.58155976,26.58155976,9.575899342,26.58155976,5.374005892,26.58155976,26.58155976,26.58155976,9.058801152,26.58155976,26.58155976,26.58155976,26.58155976,26.58155976,26.58155976,26.58155976,7.312776114,8.115724378,26.58155976,26.58155976,26.58155976,26.58155976,7.345564158,26.58155976,9.513030554,26.58155976,9.282220277,26.58155976,26.58155976,26.58155976,26.58155976,8.463028161,9.143845476,26.58155976,26.58155976,26.58155976,26.58155976,26.58155976,26.58155976,26.58155976,26.58155976,26.58155976,26.58155976,26.58155976,0,mxg,f,87,carbon,2
15f,6.850250358,25.30879268,25.30879268,25.30879268,6.469307335,25.30879268,25.30879268,25.30879268,6.409160561,25.30879268,6.339401923,4.35075947,7.905333257,25.30879268,25.30879268,7.55952221,25.30879268,25.30879268,25.30879268,25.30879268,25.30879268,6.046096262,25.30879268,25.30879268,5.663349347,6.795304916,6.855113594,25.30879268,25.30879268,25.30879268,25.30879268,7.181314883,7.251303953,25.30879268,25.30879268,7.664838848,5.444791722,25.30879268,4.436832895,25.30879268,8.280610102,5.671148448,25.30879268,25.30879268,5.13211798,25.30879268,25.30879268,25.30879268,7.058753434,25.30879268,7.249665025,6.701876877,25.30879268,25.30879268,25.30879268,7.103323264,5.812905441,25.30879268,25.30879268,7.978216813,25.30879268,25.30879268,25.30879268,25.30879268,25.30879268,6.917021288,25.30879268,25.30879268,25.30879268,6.57427654,25.30879268,25.30879268,25.30879268,25.30879268,25.30879268,25.30879268,25.30879268,25.30879268,336,corn,f,87,nitrogen,1
63b,27.13319168,27.13319168,27.13319168,27.13319168,7.410480425,27.13319168,27.13319168,27.13319168,8.150433094,27.13319168,7.569730567,5.869625958,27.13319168,9.523483027,7.606515199,9.116902704,9.542480177,27.13319168,27.13319168,27.13319168,27.13319168,7.489895276,8.144990422,8.474957846,9.819896714,10.06878551,27.13319168,27.13319168,27.13319168,27.13319168,27.13319168,9.631944671,27.13319168,27.13319168,27.13319168,8.087513054,27.13319168,27.13319168,5.924843389,27.13319168,27.13319168,27.13319168,9.260780917,9.635424183,27.13319168,10.04264696,9.263255756,27.13319168,27.13319168,27.13319168,8.086704227,8.234705753,27.13319168,27.13319168,27.13319168,10.0400101,9.634455889,9.181793494,9.331004129,27.13319168,27.13319168,27.13319168,9.904131892,27.13319168,27.13319168,8.081328042,9.377971591,27.13319168,27.13319168,27.13319168,27.13319168,27.13319168,27.13319168,27.13319168,27.13319168,27.13319168,27.13319168,27.13319168,0,mxg,b,5,nitrogen,3
3b,27.3997938,9.494898158,8.966064402,27.3997938,7.66175738,27.3997938,27.3997938,9.309082757,7.219544321,8.614048839,7.092792019,5.953786713,8.773300555,27.3997938,7.708856,8.872990973,9.467228169,27.3997938,27.3997938,8.857978769,27.3997938,8.080549253,8.930818612,8.966889503,7.943150946,27.3997938,9.487575246,27.3997938,9.85895637,27.3997938,27.3997938,8.768495989,27.3997938,9.45156057,10.0918881,9.140254782,27.3997938,27.3997938,5.872611536,27.3997938,27.3997938,27.3997938,9.02695189,27.3997938,27.3997938,27.3997938,27.3997938,27.3997938,27.3997938,27.3997938,8.273064049,7.124860015,27.3997938,9.189657368,9.471896387,9.885153798,7.118000665,8.109337831,9.182726872,27.3997938,27.3997938,27.3997938,10.00863213,27.3997938,27.3997938,8.171050873,27.3997938,27.3997938,27.3997938,27.3997938,27.3997938,27.3997938,27.3997938,27.3997938,27.3997938,27.3997938,27.3997938,27.3997938,0,corn,b,5,nitrogen,1
29f,26.78700723,26.78700723,26.78700723,26.78700723,9.410855748,26.78700723,26.78700723,9.698198152,8.784334681,8.515611852,7.627539467,5.590975826,26.78700723,26.78700723,8.311181876,26.78700723,26.78700723,26.78700723,26.78700723,26.78700723,26.78700723,9.603628254,26.78700723,9.006092699,26.78700723,26.78700723,9.732518001,26.78700723,9.378702626,26.78700723,26.78700723,8.73014246,26.78700723,9.468855887,9.265609392,26.78700723,26.78700723,26.78700723,5.75715828,26.78700723,26.78700723,26.78700723,26.78700723,26.78700723,26.78700723,26.78700723,26.78700723,26.78700723,26.78700723,26.78700723,26.78700723,7.172080749,26.78700723,9.534765309,9.016886718,26.78700723,8.862641535,26.78700723,26.78700723,26.78700723,26.78700723,26.78700723,9.277903481,26.78700723,26.78700723,7.723188416,26.78700723,26.78700723,26.78700723,26.78700723,26.78700723,26.78700723,26.78700723,26.78700723,26.78700723,26.78700723,26.78700723,26.78700723,0,corn,f,87,carbon,3
