,amoA.001,amoA.002,amoA.003,amoA.004,amoA.005,amoA.006,amoA.007,amoA.008,amoA.009,amoA.010,amoA.011,amoA.012,amoA.013,amoA.014,amoA.015,amoA.016,amoA.017,amoA.018,amoA.019,amoA.020,amoA.021,amoA.022,amoA.023,amoA.024,amoA.025,amoA.026,amoA.027,amoA.028,amoA.029,amoA.030,amoA.031,amoA.032,amoA.033,amoA.034,amoA.035,amoA.036,amoA.037,amoA.038,amoA.039,amoA.040,amoA.041,amoA.042,amoA.043,amoA.044,amoA.045,amoA.046,amoA.047,amoA.048,amoA.049,amoA.050,amoA.051,amoA.052,amoA.053,amoA.054,amoA.055,amoA.056,amoA.057,amoA.058,amoA.059,amoA.060,amoA.061,amoA.062,amoA.063,amoA.064,amoA.065,amoA.066,amoA.067,amoA.068,amoA.069,amoA.070,amoA.071,amoA.072,amoA.073,amoA.074,amoA.075,amoA.076,amoA.077,amoA.078,16S,fert_level,crop,timepoint,doe,addition,field_rep
2b,22.70657068,40,21.35182477,21.58025775,20.03496178,22.32520874,40,20.48577079,22.19208848,22.3288299,20.86869992,18.25762822,21.64643647,21.40720104,21.44517352,19.90333769,40,22.13894326,40,22.23253508,40,20.71417522,40,20.32493853,19.98500369,21.92355792,21.97524526,40,40,40,40,22.56125227,22.91497085,40,22.99421442,21.81894098,40,40,18.77418874,40,40,40,21.49094722,40,40,40,40,40,40,40,20.37089742,20.28485806,40,21.98305061,21.69731953,40,21.63917453,21.72716425,40,40,40,40,21.8103313,40,40,20.36946494,40,40,40,40,40,40,40,21.88533257,40,40,40,40,12.58732121,0,corn,b,5,carbon,1
35b,22.32705543,40,21.7891893,22.93456035,21.01934608,22.2461895,40,40,20.70009035,22.91716232,21.25374442,19.34874451,40,21.64603803,22.59463737,21.8542963,40,40,40,40,40,40,22.94318116,40,21.88102859,40,40,40,40,40,40,40,40,22.9761574,40,21.14597592,40,40,19.44394728,40,40,40,40,40,40,40,22.92559561,40,40,40,22.75168414,22.13065322,40,22.42972616,22.79587907,40,21.75029957,40,40,40,40,40,40,40,22.46704077,22.11646485,40,40,40,40,40,40,40,40,40,40,40,40,12.48911198,0,corn,b,5,carbon,4
52f,40,40,40,40,21.03393939,40,40,40,40,40,21.85056787,18.71427458,22.0351544,40,40,20.84118826,40,40,40,40,40,21.71877506,22.66137802,22.50958511,21.15411532,22.76144352,40,40,40,40,40,22.84293689,21.74029509,21.84989112,40,22.86148816,40,40,18.69047364,40,40,22.71476321,22.48420409,40,40,21.79987512,40,40,21.81307055,22.10310883,22.96043972,22.34976405,40,40,22.52315489,21.57713557,22.07796586,22.29870714,40,21.48791328,40,40,40,40,40,21.99182865,40,40,40,40,40,40,40,40,40,40,40,40,13.6545151,0,mxg,f,87,control,2
34f,40,40,40,40,20.32134769,40,40,22.51825695,21.90290407,40,22.47463714,19.52644656,40,40,22.65729525,22.88757079,40,40,40,40,40,40,40,40,22.2290502,40,40,40,22.5572259,40,40,22.2871445,40,40,40,40,40,40,20.49313335,40,40,40,40,22.91136837,40,40,22.13405815,40,40,40,22.4729908,40,40,40,40,22.94145393,21.02183158,40,22.65945873,40,40,22.73666831,40,40,40,21.56123082,22.64300227,40,40,40,40,40,40,40,40,40,40,40,13.08556828,0,corn,f,87,control,4
16f,22.39138643,40,22.42540765,40,19.97216628,40,40,21.96345749,19.95246287,40,20.76332999,18.5613792,21.13849221,21.96183153,21.7301184,19.68905003,22.68608376,21.46154588,22.48013227,21.14170548,40,20.80927658,40,21.89509033,20.53864339,20.63835774,20.50339135,40,22.87377225,40,40,22.03968229,21.43395011,21.43531263,40,22.30383265,21.93367107,40,18.49038825,22.95127899,22.78368369,22.22715606,20.41417877,22.73899126,20.00573641,21.24995332,20.2224784,40,21.28920229,21.41104889,21.39289104,20.1103523,22.881233,22.84155706,22.59043387,20.98454395,20.65159415,40,21.34067358,20.53865562,40,40,40,40,22.9921592,20.35310541,40,40,40,21.98485795,40,21.74799867,40,22.9857225,40,40,40,40,14.05409346,336,corn,f,87,control,2
53f,40,40,22.98309696,40,22.47624269,40,40,40,21.51576653,40,22.27372283,18.42726235,40,40,40,21.5368247,22.41200001,40,40,21.83628421,40,21.26660608,40,40,21.98861109,22.18864914,21.99697179,40,40,40,40,40,22.5375753,40,40,40,22.99433958,40,18.79244613,40,40,40,22.47724139,40,40,40,40,40,40,40,20.73121636,21.53416462,40,40,40,40,20.7640044,40,22.9314708,40,22.70066052,40,40,40,40,21.8814684,22.56228572,40,40,40,40,40,40,40,40,40,40,40,13.41844024,0,mxg,f,87,carbon,2
15f,21.54145768,40,40,40,21.16051466,40,40,40,21.10036789,40,21.03060925,19.04196679,22.59654058,40,40,22.25072953,40,40,40,40,40,20.73730359,40,40,20.35455667,21.48651224,21.54632092,40,40,40,40,21.87252221,21.94251128,40,40,22.35604617,20.13599905,40,19.12804022,40,22.97181743,20.36235577,40,40,19.8233253,40,40,40,21.74996076,40,21.94087235,21.3930842,40,40,40,21.79453059,20.50411276,40,40,22.66942414,40,40,40,40,40,21.60822861,40,40,40,21.26548386,40,40,40,40,40,40,40,40,14.69120732,336,corn,f,87,nitrogen,1
63b,40,40,40,40,20.27728874,40,40,40,21.01724141,40,20.43653888,18.73643428,40,22.39029135,20.47332352,21.98371102,22.40928849,40,40,40,40,20.35670359,21.01179874,21.34176616,22.68670503,22.93559383,40,40,40,40,40,22.49875299,40,40,40,20.95432137,40,40,18.79165171,40,40,40,22.12758924,22.5022325,40,22.90945528,22.13006407,40,40,40,20.95351254,21.10151407,40,40,40,22.90681842,22.50126421,22.04860181,22.19781245,40,40,40,22.77094021,40,40,20.94813636,22.24477991,40,40,40,40,40,40,40,40,40,40,40,12.86680832,0,mxg,b,5,nitrogen,3
3b,40,22.09510436,21.5662706,40,20.26196358,40,40,21.90928896,19.81975052,21.21425504,19.69299822,18.55399291,21.37350676,40,20.3090622,21.47319717,22.06743437,40,40,21.45818497,40,20.68075545,21.53102481,21.5670957,20.54335715,40,22.08778145,40,22.45916257,40,40,21.36870219,40,22.05176677,22.6920943,21.74046098,40,40,18.47281774,40,40,40,21.62715809,40,40,40,40,40,40,40,20.87327025,19.72506622,40,21.78986357,22.07210259,22.48536,19.71820687,20.70954403,21.78293307,40,40,40,22.60883833,40,40,20.77125707,40,40,40,40,40,40,40,40,40,40,40,40,12.6002062,0,corn,b,5,nitrogen,1
29f,40,40,40,40,22.62384852,40,40,22.91119092,21.99732745,21.72860462,20.84053224,18.8039686,40,40,21.52417465,40,40,40,40,40,40,22.81662103,40,22.21908547,40,40,22.94551077,40,22.5916954,40,40,21.94313523,40,22.68184866,22.47860216,40,40,40,18.97015105,40,40,40,40,40,40,40,40,40,40,40,40,20.38507352,40,22.74775808,22.22987949,40,22.07563431,40,40,40,40,40,22.49089625,40,40,20.93618119,40,40,40,40,40,40,40,40,40,40,40,40,13.21299277,0,corn,f,87,carbon,3
68f,40,22.91487678,22.05335677,40,21.34950074,40,40,22.40756297,40,40,21.87391318,18.45788693,22.98536841,22.44916681,22.1978163,21.71545486,40,40,40,40,40,22.13583083,40,22.12544682,21.97287532,40,40,40,40,40,40,22.14739446,40,40,40,40,40,40,18.52039817,40,40,40,20.56377465,22.19398957,40,40,40,40,40,40,21.63438386,20.8940471,40,40,22.42842276,22.75538321,20.93883473,21.86774293,21.45277884,40,40,40,40,40,40,22.07169442,40,40,40,40,40,40,40,40,40,40,40,40,12.83783761,0,mxg,f,87,carbon,4
